"","pID","condition","section","seenRed","seenBlue","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","time","chipsOrder","actuallyEstimated","selected","beta","value"
"1","100","all","unlimited",22,6,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.020990990990991,0.0420720720720721,0.0447747747747748,0.173423423423423,0.373513513513514,0.30018018018018,0.00900900900900901,0.00900900900900901,39,"female",1,407.1,2.22122122221222e+27,1,28,0.9999999,0.0620409819375539
"2","108","all","unlimited",14,4,0.0277502477700694,0.0346878097125867,0.0542391206414992,0.0486530318046671,0.0861338859356699,0.0109919812595729,0.274168844040004,0.370483827371835,0.0109919812595729,0.07090728894495,0.0109919812595729,24,"male",1,157.2,122221222222220992,1,18,0.695635090597828,0.194729631202163
"3","11","all","unlimited",9,2,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.048018018018018,0.0690990990990991,0.084054054054054,0.149279279279279,0.412252252252252,0.15018018018018,0.0510810810810811,37,"male",1,230.75,22221212222,1,11,0.110679425162772,0.0291061391955779
"4","111","all","unlimited",18,5,0.014954954954955,0.0117117117117117,0.01,0.0118018018018018,0.0113513513513513,0.0102702702702703,0.0599099099099099,0.364594594594595,0.418918918918919,0.0771171171171171,0.00936936936936937,32,"female",1,289.91,2.22212221212222e+22,1,23,1e-07,0.00752211046209876
"5","112","all","unlimited",12,3,0.0288288288288288,0.0288288288288288,0.0288288288288288,0.0288288288288288,0.0288288288288288,0.0288288288288288,0.0288288288288288,0.184954954954955,0.555585585585586,0.0288288288288288,0.0288288288288288,31,"female",1,280.89,221221222222212,1,15,1e-07,0.0730863163942588
"6","113","all","unlimited",6,1,0.0096387712818665,0.070894514007747,0.15665255382398,0.141789028015494,0.0096387712818665,0.152959192865508,0.325556256193136,0.0280154940996307,0.0653094315827403,0.0299072155661652,0.0096387712818665,27,"female",1,115.61,2122222,1,7,0.860989010657146,0.184576173270049
"7","115","all","unlimited",9,2,0.776216216216216,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0452252252252252,0.0431531531531532,0.0101801801801802,0.0514414414414414,0.0287387387387387,0.00900900900900901,37,"female",1,156.88,22212122222,1,11,1e-07,0.805100405835892
"8","117","all","unlimited",41,10,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.187927927927928,0.730990990990991,0.00900900900900901,33,"male",1,507.45,2.12222222122221e+50,1,51,1e-07,0.733431272972377
"9","120","all","unlimited",12,3,0.00900982070456798,0.043337237588972,0.0299126047391657,0.0328858455716731,0.00900982070456798,0.00900982070456798,0.0328858455716731,0.00900982070456798,0.00900982070456798,0.806919542301108,0.00900982070456798,30,"male",1,115.76,212222221222122,1,15,0.9999999,0.59142623458471
"10","121","all","unlimited",15,4,0.0350387317600432,0.0395424247883264,0.0105386416861827,0.0105386416861827,0.0105386416861827,0.0105386416861827,0.0290938569627094,0.0105386416861827,0.0105386416861827,0.822554494685642,0.0105386416861827,31,"female",1,145.51,2222122212212219904,1,19,1e-07,0.70977558547006
